date,screen,ticker,price
2026-09-16,growth_momentum,DELL,534.28
2026-09-16,growth_momentum,ETON,57.62
2026-09-16,growth_momentum,MRVL,218.82
2026-09-16,growth_momentum,CDNA,52.37
2026-09-16,growth_momentum,KNSA,76.58
2026-09-16,growth_momentum,LPG,55.38
2026-09-16,growth_momentum,AMD,493.41
2026-09-16,growth_momentum,INSW,105.84
2026-09-16,growth_momentum,LFST,13.38
2026-09-16,growth_momentum,PAYS,12.83
2026-09-16,growth_momentum,LQDA,65.31
2026-09-16,growth_momentum,OSCR,33.81
2026-09-16,growth_momentum,EVC,8.32
2026-09-16,growth_momentum,DINO,106.91
2026-09-16,growth_momentum,ECPG,99.74
2026-09-16,growth_momentum,TWLO,231.88
2026-09-16,growth_momentum,TGTX,54.0
2026-09-16,growth_momentum,TVTX,65.79
2026-09-16,insider_buying,JEF,50.1
2026-09-16,insider_buying,CBIO,19.68
2026-09-16,insider_buying,AAT,21.64
2026-09-16,insider_buying,BORR,4.12
2026-09-16,insider_buying,FSBC,45.99
2026-09-16,insider_buying,XRN,36.27
2026-09-16,insider_buying,NPB,16.98
2026-09-16,insider_buying,CGON,73.79
2026-09-16,insider_buying,CODI,11.31
2026-09-16,insider_buying,BWFG,68.25
2026-09-16,insider_buying,OPFI,7.78
2026-09-16,insider_buying,INBX,110.47
2026-09-16,insider_buying,GME,21.62
2026-09-16,insider_buying,AMRC,22.68
2026-09-16,insider_buying,MLAB,121.48
2026-09-16,insider_buying,AVBC,22.18
2026-09-16,insider_buying,GIII,27.83
2026-09-16,insider_buying,APTV,44.79
2026-09-16,insider_buying,DFIN,48.44
2026-09-16,insider_buying,FRPH,21.93
2026-09-16,income,QFIN,8.47
2026-09-16,income,SCHL,35.3
2026-09-16,income,TBLA,3.91
2026-09-16,income,IBTA,42.4
2026-09-16,income,FCN,150.86
2026-09-16,income,COKE,200.67
2026-09-16,income,SPB,85.45
2026-09-16,income,CRTO,17.32
2026-09-16,income,ARI,6.57
2026-09-16,income,GRND,15.73
2026-09-16,income,VIPS,12.44
2026-09-16,income,DFIN,48.44
2026-09-16,income,HOG,27.59
2026-09-16,income,GNL,9.02
2026-09-16,income,INMD,14.89
2026-09-16,income,MOMO,4.93
2026-09-16,income,VRTS,143.52
2026-09-16,income,CHCT,14.74
2026-09-16,income,RSKD,6.29
2026-09-16,income,CART,49.48
2026-09-16,pullback,APP,334.24
2026-09-16,pullback,SEZL,121.57
2026-09-16,pullback,WINA,299.47
2026-09-16,pullback,ADBE,265.6
2026-09-16,pullback,ADSK,228.93
2026-09-16,pullback,FICO,1001.5
2026-09-16,pullback,IDXX,509.56
2026-09-16,pullback,INTU,339.15
2026-09-16,pullback,VRSK,187.03
2026-09-16,pullback,DPZ,323.77
2026-09-16,pullback,STX,805.55
2026-09-16,pullback,PEGA,38.71
2026-09-16,pullback,SNDK,1551.99
2026-09-16,pullback,DECK,80.54
2026-09-16,pullback,ODFL,181.91
2026-09-16,pullback,PTC,136.65
2026-09-16,pullback,ULS,69.5
2026-09-16,pullback,CRUS,116.34
2026-09-16,pullback,RDDT,162.38
2026-09-16,pullback,AVGO,344.72
